210723_130540
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe fw, point=4,router19, eth3
conflict, bw difference=18.86, applist=pe fw, point=4,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.83, applist=pe fw, point=4,router19, eth4
conflict, bw difference=18.83, applist=pe fw, point=4,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe fw, point=5,router19, eth3
conflict, bw difference=18.86, applist=pe fw, point=5,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.85, applist=pe fw, point=5,router19, eth4
conflict, bw difference=18.85, applist=pe fw, point=5,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe fw, point=6,router19, eth3
conflict, bw difference=18.86, applist=pe fw, point=6,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.79, applist=pe fw, point=6,router19, eth4
conflict, bw difference=18.79, applist=pe fw, point=6,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=10,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=10,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.80, applist=pe plb fw, point=10,router19, eth4
conflict, bw difference=18.80, applist=pe plb fw, point=10,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=11,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=11,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.83, applist=pe plb fw, point=11,router19, eth4
conflict, bw difference=18.83, applist=pe plb fw, point=11,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=12,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=12,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.85, applist=pe plb fw, point=12,router19, eth4
conflict, bw difference=18.85, applist=pe plb fw, point=12,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=13,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=13,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.83, applist=pe plb fw, point=13,router19, eth4
conflict, bw difference=18.83, applist=pe plb fw, point=13,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=14,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=14,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.94, applist=pe plb fw, point=14,router19, eth4
conflict, bw difference=18.94, applist=pe plb fw, point=14,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=15,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=15,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.80, applist=pe plb fw, point=15,router19, eth4
conflict, bw difference=18.80, applist=pe plb fw, point=15,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=16,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=16,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.84, applist=pe plb fw, point=16,router19, eth4
conflict, bw difference=18.84, applist=pe plb fw, point=16,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=17,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=17,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.87, applist=pe plb fw, point=17,router19, eth4
conflict, bw difference=18.87, applist=pe plb fw, point=17,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=18,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=18,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.86, applist=pe plb fw, point=18,router19, eth4
conflict, bw difference=18.86, applist=pe plb fw, point=18,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=19,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=19,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.83, applist=pe plb fw, point=19,router19, eth4
conflict, bw difference=18.83, applist=pe plb fw, point=19,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=20,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=20,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.86, applist=pe plb fw, point=20,router19, eth4
conflict, bw difference=18.86, applist=pe plb fw, point=20,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=21,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=21,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.92, applist=pe plb fw, point=21,router19, eth4
conflict, bw difference=18.92, applist=pe plb fw, point=21,router19, eth4
Conflict for bw of used port in isolation=18.86, bw in codeployment=0, applist=pe plb fw, point=22,router19, eth3
conflict, bw difference=18.86, applist=pe plb fw, point=22,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.81, applist=pe plb fw, point=22,router19, eth4
conflict, bw difference=18.81, applist=pe plb fw, point=22,router19, eth4
Experiment finished at 210723_153059
