210723_153115
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe, point=1,router19, eth3
conflict, bw difference=18.90, applist=fw pe, point=1,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.82, applist=fw pe, point=1,router19, eth4
conflict, bw difference=18.82, applist=fw pe, point=1,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe, point=2,router19, eth3
conflict, bw difference=18.90, applist=fw pe, point=2,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.78, applist=fw pe, point=2,router19, eth4
conflict, bw difference=18.78, applist=fw pe, point=2,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe, point=3,router19, eth3
conflict, bw difference=18.90, applist=fw pe, point=3,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.80, applist=fw pe, point=3,router19, eth4
conflict, bw difference=18.80, applist=fw pe, point=3,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=10,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=10,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.85, applist=fw pe plb, point=10,router19, eth4
conflict, bw difference=18.85, applist=fw pe plb, point=10,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=11,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=11,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.80, applist=fw pe plb, point=11,router19, eth4
conflict, bw difference=18.80, applist=fw pe plb, point=11,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=12,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=12,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.79, applist=fw pe plb, point=12,router19, eth4
conflict, bw difference=18.79, applist=fw pe plb, point=12,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=13,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=13,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.81, applist=fw pe plb, point=13,router19, eth4
conflict, bw difference=18.81, applist=fw pe plb, point=13,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=14,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=14,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.84, applist=fw pe plb, point=14,router19, eth4
conflict, bw difference=18.84, applist=fw pe plb, point=14,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=15,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=15,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.81, applist=fw pe plb, point=15,router19, eth4
conflict, bw difference=18.81, applist=fw pe plb, point=15,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=16,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=16,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.84, applist=fw pe plb, point=16,router19, eth4
conflict, bw difference=18.84, applist=fw pe plb, point=16,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=17,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=17,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.87, applist=fw pe plb, point=17,router19, eth4
conflict, bw difference=18.87, applist=fw pe plb, point=17,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=18,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=18,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.85, applist=fw pe plb, point=18,router19, eth4
conflict, bw difference=18.85, applist=fw pe plb, point=18,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=19,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=19,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.81, applist=fw pe plb, point=19,router19, eth4
conflict, bw difference=18.81, applist=fw pe plb, point=19,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=20,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=20,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.78, applist=fw pe plb, point=20,router19, eth4
conflict, bw difference=18.78, applist=fw pe plb, point=20,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=21,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=21,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.86, applist=fw pe plb, point=21,router19, eth4
conflict, bw difference=18.86, applist=fw pe plb, point=21,router19, eth4
Conflict for bw of used port in isolation=18.90, bw in codeployment=0, applist=fw pe plb, point=22,router19, eth3
conflict, bw difference=18.90, applist=fw pe plb, point=22,router19, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=18.80, applist=fw pe plb, point=22,router19, eth4
conflict, bw difference=18.80, applist=fw pe plb, point=22,router19, eth4
Experiment finished at 210723_175636
