210722_163724
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=pplb4s plb, point=1,router3, eth4
Conflict for bw of unused port in isolation=0, bw in codeployment=4.30, applist=pplb4s plb, point=2,router3, eth4
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=pplb4s plb, point=3,router3, eth4
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s hs, point=4
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s hs, point=4
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s hs, point=4
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s hs, point=4
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s hs, point=4
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=0, applist=pplb4s hs, point=4
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s hs, point=4
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s hs, point=4
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s hs, point=5
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s hs, point=5
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s hs, point=5
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s hs, point=5
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s hs, point=5
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=0, applist=pplb4s hs, point=5
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s hs, point=5
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s hs, point=5
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s hs, point=6
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s hs, point=6
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s hs, point=6
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s hs, point=6
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s hs, point=6
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=0, applist=pplb4s hs, point=6
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s hs, point=6
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s hs, point=6
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=10
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=1, applist=pplb4s plb hs, point=10
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=10
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=10
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=10
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=10
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=10
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=10
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4s plb hs, point=10,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc1, iso=0, cdp=1, applist=pplb4s plb hs, point=10
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=11
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=11
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=11
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=11
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=11
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=11
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=11
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=11
Conflict for bw of unused port in isolation=0, bw in codeployment=0.39, applist=pplb4s plb hs, point=11,router3, eth4
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=12
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=12
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=12
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=12
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=12
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=12
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=12
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=12
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4s plb hs, point=12,router3, eth4
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=2, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=13
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4s plb hs, point=13,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=2, applist=pplb4s plb hs, point=13
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=1, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=14
Conflict for bw of unused port in isolation=0, bw in codeployment=0.90, applist=pplb4s plb hs, point=14,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=1, applist=pplb4s plb hs, point=14
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=2, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for nc test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=6, applist=pplb4s plb hs, point=15
Conflict for bw of unused port in isolation=0, bw in codeployment=4.74, applist=pplb4s plb hs, point=15,router3, eth4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=0, cdp=2, applist=pplb4s plb hs, point=15
conflict, pplb4s is not fulfilled at end-point for nc test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=0, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for nc test, pc3, iso=3, cdp=0, applist=pplb4s plb hs, point=16
conflict, pplb4s is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=2, applist=pplb4s plb hs, point=16
