210728_113231
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=2, applist=eplb pplb4d, point=1
conflict, pplb4d is not fulfilled at end-point for nc test, pc2, iso=3, cdp=2, applist=eplb pplb4d, point=1
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=3, cdp=4, applist=eplb pplb4d, point=1
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=5, applist=eplb pplb4d, point=1
conflict, pplb4d is not fulfilled at end-point for nc test, pc4, iso=3, cdp=4, applist=eplb pplb4d, point=1
conflict, pplb4d is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=5, applist=eplb pplb4d, point=1
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=2, applist=eplb pplb4d, point=2
conflict, pplb4d is not fulfilled at end-point for nc test, pc2, iso=3, cdp=2, applist=eplb pplb4d, point=2
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=3, cdp=4, applist=eplb pplb4d, point=2
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=5, applist=eplb pplb4d, point=2
conflict, pplb4d is not fulfilled at end-point for nc test, pc4, iso=3, cdp=4, applist=eplb pplb4d, point=2
conflict, pplb4d is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=5, applist=eplb pplb4d, point=2
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=2, applist=eplb pplb4d, point=3
conflict, pplb4d is not fulfilled at end-point for nc test, pc2, iso=3, cdp=2, applist=eplb pplb4d, point=3
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=3, cdp=4, applist=eplb pplb4d, point=3
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=5, applist=eplb pplb4d, point=3
conflict, pplb4d is not fulfilled at end-point for nc test, pc4, iso=3, cdp=4, applist=eplb pplb4d, point=3
conflict, pplb4d is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=5, applist=eplb pplb4d, point=3
conflict, hs is not fulfilled at end-point for nc test, pc4, iso=3, cdp=4, applist=eplb hs, point=4
conflict, hs is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=5, applist=eplb hs, point=4
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=3, cdp=4, applist=eplb hs, point=4
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=5, applist=eplb hs, point=4
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=3, cdp=2, applist=eplb hs, point=4
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=3, cdp=2, applist=eplb hs, point=4
conflict, hs is not fulfilled at end-point for nc test, pc4, iso=3, cdp=4, applist=eplb hs, point=5
conflict, hs is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=5, applist=eplb hs, point=5
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=3, cdp=4, applist=eplb hs, point=5
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=5, applist=eplb hs, point=5
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=3, cdp=2, applist=eplb hs, point=5
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=3, cdp=2, applist=eplb hs, point=5
conflict, hs is not fulfilled at end-point for nc test, pc4, iso=3, cdp=4, applist=eplb hs, point=6
conflict, hs is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=5, applist=eplb hs, point=6
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=3, cdp=4, applist=eplb hs, point=6
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=5, applist=eplb hs, point=6
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=3, cdp=2, applist=eplb hs, point=6
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=3, cdp=2, applist=eplb hs, point=6
conflict, bw difference=8.13, applist=eplb pe, point=7,router3, eth2
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=4, cdp=3, applist=eplb pe, point=8
conflict, bw difference=8.59, applist=eplb pe, point=8,router3, eth2
conflict, bw difference=8.24, applist=eplb pe, point=9,router3, eth2
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=2, applist=eplb pplb4d hs, point=19
conflict, pplb4d is not fulfilled at end-point for nc test, pc2, iso=3, cdp=2, applist=eplb pplb4d hs, point=19
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=3, cdp=4, applist=eplb pplb4d hs, point=19
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=5, applist=eplb pplb4d hs, point=19
conflict, pplb4d is not fulfilled at end-point for nc test, pc4, iso=3, cdp=4, applist=eplb pplb4d hs, point=19
conflict, pplb4d is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=5, applist=eplb pplb4d hs, point=19
conflict, hs is not fulfilled at end-point for nc test, pc4, iso=3, cdp=4, applist=eplb pplb4d hs, point=19
conflict, hs is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=5, applist=eplb pplb4d hs, point=19
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=3, cdp=4, applist=eplb pplb4d hs, point=19
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=5, applist=eplb pplb4d hs, point=19
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=3, cdp=2, applist=eplb pplb4d hs, point=19
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=3, cdp=2, applist=eplb pplb4d hs, point=19
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=2, applist=eplb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for nc test, pc2, iso=3, cdp=2, applist=eplb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=3, cdp=4, applist=eplb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=5, applist=eplb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for nc test, pc4, iso=3, cdp=4, applist=eplb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=5, applist=eplb pplb4d hs, point=20
conflict, hs is not fulfilled at end-point for nc test, pc4, iso=3, cdp=4, applist=eplb pplb4d hs, point=20
conflict, hs is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=5, applist=eplb pplb4d hs, point=20
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=3, cdp=4, applist=eplb pplb4d hs, point=20
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=5, applist=eplb pplb4d hs, point=20
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=3, cdp=2, applist=eplb pplb4d hs, point=20
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=3, cdp=2, applist=eplb pplb4d hs, point=20
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=2, applist=eplb pplb4d hs, point=21
