210710_013855
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=0, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=4, cdp=3, point=1
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=6, cdp=4, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=0, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=4, cdp=3, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=4, point=2
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=6, cdp=4, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=0, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, point=3
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=6, cdp=4, point=3
Experiment finished at 210710_020554
