210710_091715
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=0, cdp=1, point=1
conflict, hs is not fulfilled at end-point for iperf test, pc1, iso=0, cdp=1, point=1
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=6, cdp=4, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=4, cdp=1, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=4, cdp=1, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=4, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, point=1
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=0, cdp=1, point=2
conflict, hs is not fulfilled at end-point for iperf test, pc1, iso=0, cdp=1, point=2
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=6, cdp=4, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=4, cdp=1, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=4, cdp=1, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=4, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, point=2
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=0, cdp=1, point=3
conflict, hs is not fulfilled at end-point for iperf test, pc1, iso=0, cdp=1, point=3
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=6, cdp=4, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=4, cdp=1, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=4, cdp=1, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=4, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, point=3
Experiment finished at 210710_094443
