sum_point = 3, sum_con = 0
sum_point = 6, sum_con = 0
sum_point = 9, sum_con = 0
sum_point = 12, sum_con = 0
sum_point = 15, sum_con = 0
sum_point = 18, sum_con = 0
sum_point = 21, sum_con = 0
sum_point = 24, sum_con = 0
sum_point = 27, sum_con = 0
sum_point = 30, sum_con = 0
sum_point = 33, sum_con = 0
sum_point = 36, sum_con = 0
sum_point = 39, sum_con = 0
sum_point = 42, sum_con = 0
sum_point = 45, sum_con = 0
sum_point = 48, sum_con = 0
sum_point = 51, sum_con = 0
sum_point = 54, sum_con = 0
sum_point = 57, sum_con = 0
sum_point = 60, sum_con = 0
sum_point = 63, sum_con = 0
sum_point = 66, sum_con = 0
sum_point = 69, sum_con = 0
sum_point = 72, sum_con = 0
sum_point = 94, sum_con = 0
sum_point = 116, sum_con = 0
sum_point = 138, sum_con = 0
sum_point = 160, sum_con = 0
sum_point = 182, sum_con = 0
sum_point = 204, sum_con = 0
sum_point = 226, sum_con = 0
sum_point = 248, sum_con = 0
sum_point = 270, sum_con = 0
sum_point = 292, sum_con = 0
sum_point = 314, sum_con = 0
sum_point = 336, sum_con = 0
sum_point = 358, sum_con = 0
sum_point = 380, sum_con = 0
sum_point = 402, sum_con = 0
sum_point = 424, sum_con = 0
sum_point = 446, sum_con = 0
sum_point = 468, sum_con = 0
sum_point = 490, sum_con = 0
sum_point = 512, sum_con = 0
sum_point = 534, sum_con = 0
sum_point = 556, sum_con = 0
sum_point = 578, sum_con = 0
sum_point = 600, sum_con = 0
sum_point = 622, sum_con = 0
sum_point = 644, sum_con = 0
sum_point = 666, sum_con = 0
sum_point = 688, sum_con = 0
sum_point = 710, sum_con = 2
sum_point = 732, sum_con = 2
sum_point = 754, sum_con = 2
sum_point = 776, sum_con = 2
sum_point = 798, sum_con = 2
sum_point = 820, sum_con = 2
sum_point = 842, sum_con = 2
sum_point = 864, sum_con = 4
sum_point = 886, sum_con = 4
sum_point = 908, sum_con = 4
sum_point = 930, sum_con = 4
sum_point = 952, sum_con = 4
sum_point = 974, sum_con = 4
sum_point = 996, sum_con = 4
sum_point = 1018, sum_con = 4
sum_point = 1040, sum_con = 4
sum_point = 1062, sum_con = 4
sum_point = 1084, sum_con = 4
sum_point = 1106, sum_con = 4
sum_point = 1128, sum_con = 4
sum_point = 1150, sum_con = 4
sum_point = 1172, sum_con = 4
sum_point = 1194, sum_con = 4
sum_point = 1216, sum_con = 4
sum_point = 1238, sum_con = 5
sum_point = 1260, sum_con = 5
sum_point = 1282, sum_con = 5
sum_point = 1304, sum_con = 5
sum_point = 1326, sum_con = 5
sum_point = 1348, sum_con = 5
sum_point = 1370, sum_con = 5
sum_point = 1392, sum_con = 5
sum_point = 1414, sum_con = 5
sum_point = 1436, sum_con = 5
sum_point = 1458, sum_con = 5
sum_point = 1480, sum_con = 20
sum_point = 1502, sum_con = 31
sum_point = 1524, sum_con = 48
sum_point = 1546, sum_con = 63
sum_point = 1568, sum_con = 63
sum_point = 1590, sum_con = 63
sum_point = 1612, sum_con = 63
sum_point = 1634, sum_con = 63
sum_point = 1656, sum_con = 63
sum_point = 1678, sum_con = 63
sum_point = 1700, sum_con = 63
sum_point = 1722, sum_con = 63
sum_point = 1744, sum_con = 63
sum_point = 1766, sum_con = 63
sum_point = 1788, sum_con = 63
sum_point = 1810, sum_con = 63
sum_point = 1955, sum_con = 63
sum_point = 1977, sum_con = 63
sum_point = 1999, sum_con = 63
sum_point = 2021, sum_con = 65
sum_point = 2043, sum_con = 78
sum_point = 2188, sum_con = 179
sum_point = 2191, sum_con = 179
sum_point = 2194, sum_con = 179
sum_point = 2216, sum_con = 179
sum_point = 2238, sum_con = 179
sum_point = 2241, sum_con = 179
sum_point = 2244, sum_con = 179
sum_point = 2247, sum_con = 179
sum_point = 2250, sum_con = 179
sum_point = 2272, sum_con = 179
sum_point = 2275, sum_con = 179
sum_point = 2278, sum_con = 179
sum_point = 2281, sum_con = 179
sum_point = 2284, sum_con = 179
sum_point = 2287, sum_con = 179
sum_point = 2290, sum_con = 182
sum_point = 2293, sum_con = 185
sum_point = 2296, sum_con = 185
sum_point = 2299, sum_con = 185
sum_point = 2302, sum_con = 185
sum_point = 2305, sum_con = 185
sum_point = 2308, sum_con = 185
sum_point = 2311, sum_con = 185
sum_point = 2333, sum_con = 185
sum_point = 2355, sum_con = 185
sum_point = 2377, sum_con = 185
sum_point = 2399, sum_con = 185
sum_point = 2421, sum_con = 185
sum_point = 2566, sum_con = 185
sum_point = 2711, sum_con = 185
sum_point = 2856, sum_con = 301
sum_point = 3001, sum_con = 416
sum_point = 3004, sum_con = 416
sum_point = 3007, sum_con = 416
sum_point = 3010, sum_con = 416
sum_point = 3013, sum_con = 416
sum_point = 3016, sum_con = 416
sum_point = 3019, sum_con = 416
sum_point = 3022, sum_con = 416
sum_point = 3025, sum_con = 416
sum_point = 3028, sum_con = 416
sum_point = 3031, sum_con = 417
sum_point = 3034, sum_con = 417
sum_point = 3037, sum_con = 417
sum_point = 3040, sum_con = 417
sum_point = 3043, sum_con = 417
sum_point = 3046, sum_con = 417
sum_point = 3049, sum_con = 417
sum_point = 3052, sum_con = 417
sum_point = 3055, sum_con = 417
sum_point = 3058, sum_con = 417
sum_point = 3061, sum_con = 417
sum_point = 3064, sum_con = 417
sum_point = 3067, sum_con = 417
sum_point = 3070, sum_con = 420
sum_point = 3073, sum_con = 420
sum_point = 3076, sum_con = 420
sum_point = 3079, sum_con = 420
sum_point = 3082, sum_con = 420
sum_point = 3085, sum_con = 420
sum_point = 3085, sum_con = 420
sum_point = 3085, sum_con = 420
sum_point = 3085, sum_con = 420
sum_point = 3085, sum_con = 420
sum_point = 3085, sum_con = 420
sum_point = 3088, sum_con = 423
sum_point = 3091, sum_con = 426
sum_point = 3094, sum_con = 429
sum_point = 3097, sum_con = 432
sum_point = 3100, sum_con = 435
sum_point = 3100, sum_con = 435
sum_point = 3100, sum_con = 435
sum_point = 3100, sum_con = 435
sum_point = 3100, sum_con = 435
