210927_054937
conflict, bw difference=, applist=plb pe, point=1,router18, eth1
conflict, bw difference=, applist=plb pe, point=1,router18, eth2
conflict, bw difference=, applist=plb pe, point=1,router18, eth1
conflict, bw difference=, applist=plb pe, point=1,router18, eth2
conflict, bw difference=, applist=plb pe, point=1,router44, eth1
conflict, bw difference=, applist=plb pe, point=1,router44, eth2
conflict, bw difference=, applist=plb pe, point=1,router44, eth3
conflict, bw difference=, applist=plb pe, point=1,router44, eth1
conflict, bw difference=, applist=plb pe, point=1,router44, eth2
conflict, bw difference=, applist=plb pe, point=1,router44, eth3
conflict, bw difference=, applist=plb pe, point=2,router18, eth1
conflict, bw difference=, applist=plb pe, point=2,router18, eth2
conflict, bw difference=, applist=plb pe, point=2,router18, eth1
conflict, bw difference=, applist=plb pe, point=2,router18, eth2
conflict, bw difference=, applist=plb pe, point=2,router44, eth1
conflict, bw difference=, applist=plb pe, point=2,router44, eth2
conflict, bw difference=, applist=plb pe, point=2,router44, eth3
conflict, bw difference=, applist=plb pe, point=2,router44, eth1
conflict, bw difference=, applist=plb pe, point=2,router44, eth2
conflict, bw difference=, applist=plb pe, point=2,router44, eth3
conflict, bw difference=, applist=plb pe, point=3,router18, eth1
conflict, bw difference=, applist=plb pe, point=3,router18, eth2
conflict, bw difference=, applist=plb pe, point=3,router18, eth1
conflict, bw difference=, applist=plb pe, point=3,router18, eth2
conflict, bw difference=, applist=plb pe, point=3,router44, eth1
conflict, bw difference=, applist=plb pe, point=3,router44, eth2
conflict, bw difference=, applist=plb pe, point=3,router44, eth3
conflict, bw difference=, applist=plb pe, point=3,router44, eth1
conflict, bw difference=, applist=plb pe, point=3,router44, eth2
conflict, bw difference=, applist=plb pe, point=3,router44, eth3
conflict, bw difference=, applist=pe fw, point=7,router18, eth1
conflict, bw difference=, applist=pe fw, point=7,router18, eth2
conflict, bw difference=, applist=pe fw, point=7,router18, eth1
conflict, bw difference=, applist=pe fw, point=7,router18, eth2
conflict, bw difference=, applist=pe fw, point=7,router44, eth1
conflict, bw difference=, applist=pe fw, point=7,router44, eth2
conflict, bw difference=, applist=pe fw, point=7,router44, eth3
conflict, bw difference=, applist=pe fw, point=7,router44, eth1
conflict, bw difference=, applist=pe fw, point=7,router44, eth2
conflict, bw difference=, applist=pe fw, point=7,router44, eth3
conflict, bw difference=, applist=pe fw, point=8,router18, eth1
conflict, bw difference=, applist=pe fw, point=8,router18, eth2
conflict, bw difference=, applist=pe fw, point=8,router18, eth1
conflict, bw difference=, applist=pe fw, point=8,router18, eth2
conflict, bw difference=, applist=pe fw, point=8,router44, eth1
conflict, bw difference=, applist=pe fw, point=8,router44, eth2
conflict, bw difference=, applist=pe fw, point=8,router44, eth3
conflict, bw difference=, applist=pe fw, point=8,router44, eth1
conflict, bw difference=, applist=pe fw, point=8,router44, eth2
conflict, bw difference=, applist=pe fw, point=8,router44, eth3
conflict, bw difference=, applist=pe fw, point=9,router18, eth1
conflict, bw difference=, applist=pe fw, point=9,router18, eth2
conflict, bw difference=, applist=pe fw, point=9,router18, eth1
conflict, bw difference=, applist=pe fw, point=9,router18, eth2
conflict, bw difference=, applist=pe fw, point=9,router44, eth1
conflict, bw difference=, applist=pe fw, point=9,router44, eth2
conflict, bw difference=, applist=pe fw, point=9,router44, eth3
conflict, bw difference=, applist=pe fw, point=9,router44, eth1
conflict, bw difference=, applist=pe fw, point=9,router44, eth2
conflict, bw difference=, applist=pe fw, point=9,router44, eth3
conflict, bw difference=, applist=plb pe fw, point=10,router18, eth1
conflict, bw difference=, applist=plb pe fw, point=10,router18, eth2
