210927_073852
conflict, bw difference=, applist=hs pe, point=7,router18, eth1
conflict, bw difference=, applist=hs pe, point=7,router18, eth2
conflict, bw difference=, applist=hs pe, point=7,router18, eth1
conflict, bw difference=, applist=hs pe, point=7,router18, eth2
conflict, bw difference=, applist=hs pe, point=7,router44, eth1
conflict, bw difference=, applist=hs pe, point=7,router44, eth2
conflict, bw difference=, applist=hs pe, point=7,router44, eth3
conflict, bw difference=, applist=hs pe, point=7,router44, eth1
conflict, bw difference=, applist=hs pe, point=7,router44, eth2
conflict, bw difference=, applist=hs pe, point=7,router44, eth3
conflict, bw difference=, applist=hs pe, point=8,router18, eth1
conflict, bw difference=, applist=hs pe, point=8,router18, eth2
conflict, bw difference=, applist=hs pe, point=8,router18, eth1
conflict, bw difference=, applist=hs pe, point=8,router18, eth2
conflict, bw difference=, applist=hs pe, point=8,router44, eth1
conflict, bw difference=, applist=hs pe, point=8,router44, eth2
conflict, bw difference=, applist=hs pe, point=8,router44, eth3
conflict, bw difference=, applist=hs pe, point=8,router44, eth1
conflict, bw difference=, applist=hs pe, point=8,router44, eth2
conflict, bw difference=, applist=hs pe, point=8,router44, eth3
conflict, bw difference=, applist=hs pe, point=9,router18, eth1
conflict, bw difference=, applist=hs pe, point=9,router18, eth2
conflict, bw difference=, applist=hs pe, point=9,router18, eth1
conflict, bw difference=, applist=hs pe, point=9,router18, eth2
conflict, bw difference=, applist=hs pe, point=9,router44, eth1
conflict, bw difference=, applist=hs pe, point=9,router44, eth2
conflict, bw difference=, applist=hs pe, point=9,router44, eth3
conflict, bw difference=, applist=hs pe, point=9,router44, eth1
conflict, bw difference=, applist=hs pe, point=9,router44, eth2
conflict, bw difference=, applist=hs pe, point=9,router44, eth3
conflict, bw difference=, applist=eplb pe, point=13,router18, eth1
conflict, bw difference=, applist=eplb pe, point=13,router18, eth2
conflict, bw difference=, applist=eplb pe, point=13,router18, eth1
conflict, bw difference=, applist=eplb pe, point=13,router18, eth2
conflict, bw difference=, applist=eplb pe, point=13,router44, eth1
conflict, bw difference=, applist=eplb pe, point=13,router44, eth2
conflict, bw difference=, applist=eplb pe, point=13,router44, eth3
conflict, bw difference=, applist=eplb pe, point=13,router44, eth1
conflict, bw difference=, applist=eplb pe, point=13,router44, eth2
conflict, bw difference=, applist=eplb pe, point=13,router44, eth3
conflict, bw difference=, applist=eplb pe, point=14,router18, eth1
conflict, bw difference=, applist=eplb pe, point=14,router18, eth2
conflict, bw difference=, applist=eplb pe, point=14,router18, eth1
conflict, bw difference=, applist=eplb pe, point=14,router18, eth2
conflict, bw difference=, applist=eplb pe, point=14,router44, eth1
conflict, bw difference=, applist=eplb pe, point=14,router44, eth2
conflict, bw difference=, applist=eplb pe, point=14,router44, eth3
conflict, bw difference=, applist=eplb pe, point=14,router44, eth1
conflict, bw difference=, applist=eplb pe, point=14,router44, eth2
conflict, bw difference=, applist=eplb pe, point=14,router44, eth3
conflict, bw difference=, applist=eplb pe, point=15,router18, eth1
conflict, bw difference=, applist=eplb pe, point=15,router18, eth2
conflict, bw difference=, applist=eplb pe, point=15,router18, eth1
conflict, bw difference=, applist=eplb pe, point=15,router18, eth2
conflict, bw difference=, applist=eplb pe, point=15,router44, eth1
conflict, bw difference=, applist=eplb pe, point=15,router44, eth2
conflict, bw difference=, applist=eplb pe, point=15,router44, eth3
