210717_221830
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=1,router1, eth2
conflict, bw difference=14.72, point=1,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=2,router1, eth2
conflict, bw difference=14.72, point=2,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=2,router1, eth2
conflict, bw difference=14.72, point=2,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=3,router1, eth2
conflict, bw difference=14.72, point=3,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=3,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=3,router1, eth2
conflict, bw difference=14.72, point=3,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=4,router1, eth2
conflict, bw difference=14.72, point=4,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=5,router1, eth2
conflict, bw difference=14.72, point=5,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=6,router1, eth2
conflict, bw difference=14.72, point=6,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=7,router1, eth3
conflict, bw difference=14.72, point=7,router1, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=7,router3, eth1
conflict, bw difference=14.72, point=7,router3, eth1
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=7,router3, eth2
conflict, bw difference=14.72, point=7,router3, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=7,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=8,router1, eth3
conflict, bw difference=14.72, point=8,router1, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=8,router3, eth1
conflict, bw difference=14.72, point=8,router3, eth1
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=8,router3, eth2
conflict, bw difference=14.72, point=8,router3, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=8,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=9,router1, eth3
conflict, bw difference=14.72, point=9,router1, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=9,router3, eth1
conflict, bw difference=14.72, point=9,router3, eth1
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=9,router3, eth2
conflict, bw difference=14.72, point=9,router3, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=9,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=10,router1, eth2
conflict, bw difference=14.72, point=10,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=10,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=10,router1, eth2
conflict, bw difference=14.72, point=10,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=10,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=11,router1, eth2
conflict, bw difference=14.72, point=11,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=11,router1, eth2
conflict, bw difference=14.72, point=11,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=12,router1, eth2
conflict, bw difference=14.72, point=12,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=12,router1, eth2
conflict, bw difference=14.72, point=12,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=13,router1, eth2
conflict, bw difference=14.72, point=13,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=13,router1, eth2
conflict, bw difference=14.72, point=13,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=14,router1, eth2
conflict, bw difference=14.72, point=14,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=14,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=14,router1, eth2
conflict, bw difference=14.72, point=14,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=14,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=15,router1, eth2
conflict, bw difference=14.72, point=15,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=15,router1, eth2
conflict, bw difference=14.72, point=15,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=16,router1, eth2
conflict, bw difference=14.72, point=16,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=16,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=16,router1, eth2
conflict, bw difference=14.72, point=16,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=16,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=17,router1, eth2
conflict, bw difference=14.72, point=17,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=17,router1, eth2
conflict, bw difference=14.72, point=17,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=18,router1, eth2
conflict, bw difference=14.72, point=18,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=18,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=18,router1, eth2
conflict, bw difference=14.72, point=18,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=18,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=19,router1, eth2
conflict, bw difference=14.72, point=19,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=19,router1, eth2
conflict, bw difference=14.72, point=19,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=20,router1, eth2
conflict, bw difference=14.72, point=20,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=20,router1, eth2
conflict, bw difference=14.72, point=20,router1, eth2
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=21,router1, eth2
conflict, bw difference=14.72, point=21,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=21,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=21,router1, eth2
conflict, bw difference=14.72, point=21,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=21,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=22,router1, eth2
conflict, bw difference=14.72, point=22,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=22,router3, eth3
Conflict for bw of used port in isolation=14.72, bw in codeployment=0, point=22,router1, eth2
conflict, bw difference=14.72, point=22,router1, eth2
Conflict for bw of used port in isolation=0.03, bw in codeployment=0, point=22,router3, eth3
Experiment finished at 210717_230957
