210709_124827
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=3
Experiment finished at 210709_132522
