210709_162927
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=10
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=10
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=10
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=10
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=11
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=11
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=11
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=11
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=12
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=12
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=12
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=12
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=13
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=13
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=13
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=13
error with iperf, point = 14, iperf from pc4 to pc7
[  3] WARNING: did not receive ack of last datagram after 10 tries.
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=14
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=14
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=14
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=14
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=15
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=15
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=15
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=15
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=16
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=16
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=16
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=16
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=17
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=17
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=17
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=17
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=18
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=18
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=18
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=18
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=19
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=19
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=19
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=19
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=20
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=20
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=20
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=20
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=21
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=21
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=21
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=21
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=0, point=22
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=0, point=22
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=6, cdp=10, point=22
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=7, cdp=10, point=22
Experiment finished at 210709_193328
