210709_214014
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=8, cdp=6, point=1
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=2, cdp=4, point=1
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=5, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc6, iso=5, cdp=8, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc6, iso=5, cdp=8, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=5, cdp=2, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=5, cdp=2, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=8, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=7, cdp=4, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=8, cdp=5, point=1
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=8, cdp=6, point=2
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=2, cdp=4, point=2
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=5, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc6, iso=5, cdp=8, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc6, iso=5, cdp=8, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=5, cdp=2, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=5, cdp=2, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=8, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=7, cdp=4, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=8, cdp=5, point=2
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=8, cdp=6, point=3
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=2, cdp=4, point=3
conflict, hs is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=5, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc6, iso=5, cdp=8, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc6, iso=5, cdp=8, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=5, cdp=2, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=5, cdp=2, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=6, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=8, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=7, cdp=4, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=8, cdp=5, point=3
Experiment finished at 210709_221726
