210728_230458
Conflict for bw of used port in isolation=18.96, bw in codeployment=0, applist=plb pe, point=1,router9, eth1
conflict, bw difference=18.96, applist=plb pe, point=1,router9, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=18.83, applist=plb pe, point=1,router9, eth2
conflict, bw difference=18.83, applist=plb pe, point=1,router9, eth2
Conflict for bw of used port in isolation=18.95, bw in codeployment=0, applist=plb pe, point=1,router9, eth3
conflict, bw difference=18.95, applist=plb pe, point=1,router9, eth3
Conflict for bw of used port in isolation=18.96, bw in codeployment=0, applist=plb pe, point=2,router9, eth1
conflict, bw difference=18.96, applist=plb pe, point=2,router9, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=18.81, applist=plb pe, point=2,router9, eth2
conflict, bw difference=18.81, applist=plb pe, point=2,router9, eth2
Conflict for bw of used port in isolation=18.95, bw in codeployment=0, applist=plb pe, point=2,router9, eth3
conflict, bw difference=18.95, applist=plb pe, point=2,router9, eth3
conflict, bw difference=18.95, applist=plb pe, point=3,router9, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=18.83, applist=plb pe, point=3,router9, eth2
conflict, bw difference=18.83, applist=plb pe, point=3,router9, eth2
Conflict for bw of used port in isolation=18.95, bw in codeployment=0, applist=plb pe, point=3,router9, eth3
conflict, bw difference=18.95, applist=plb pe, point=3,router9, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=0.01, applist=plb pe, point=3,router3, eth4
Experiment finished at 210728_234331
