210908_080418
Conflict for bw of used port in isolation=18.87, bw in codeployment=0, applist=pe plb, point=1,router9, eth1
conflict, bw difference=18.87, applist=pe plb, point=1,router9, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=18.83, applist=pe plb, point=1,router9, eth2
conflict, bw difference=18.83, applist=pe plb, point=1,router9, eth2
Conflict for bw of used port in isolation=18.87, bw in codeployment=0, applist=pe plb, point=1,router9, eth3
conflict, bw difference=18.87, applist=pe plb, point=1,router9, eth3
Conflict for bw of used port in isolation=18.87, bw in codeployment=0, applist=pe plb, point=2,router9, eth1
conflict, bw difference=18.87, applist=pe plb, point=2,router9, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=18.80, applist=pe plb, point=2,router9, eth2
conflict, bw difference=18.80, applist=pe plb, point=2,router9, eth2
Conflict for bw of used port in isolation=18.87, bw in codeployment=0, applist=pe plb, point=2,router9, eth3
conflict, bw difference=18.87, applist=pe plb, point=2,router9, eth3
Conflict for bw of used port in isolation=18.87, bw in codeployment=0, applist=pe plb, point=3,router9, eth1
conflict, bw difference=18.87, applist=pe plb, point=3,router9, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=18.82, applist=pe plb, point=3,router9, eth2
conflict, bw difference=18.82, applist=pe plb, point=3,router9, eth2
Conflict for bw of used port in isolation=18.87, bw in codeployment=0, applist=pe plb, point=3,router9, eth3
conflict, bw difference=18.87, applist=pe plb, point=3,router9, eth3
Experiment finished at 210908_084418
