210729_025639
Conflict for bw of used port in isolation=18.92, bw in codeployment=0, applist=pe fw, point=1,router3, eth4
conflict, bw difference=18.92, applist=pe fw, point=1,router3, eth4
Conflict for bw of used port in isolation=18.92, bw in codeployment=0, applist=pe fw, point=2,router3, eth4
conflict, bw difference=18.92, applist=pe fw, point=2,router3, eth4
Conflict for bw of used port in isolation=18.92, bw in codeployment=0, applist=pe fw, point=2,router3, eth4
conflict, bw difference=18.92, applist=pe fw, point=2,router3, eth4
Conflict for bw of used port in isolation=18.92, bw in codeployment=0, applist=pe fw, point=3,router3, eth4
conflict, bw difference=18.92, applist=pe fw, point=3,router3, eth4
Conflict for bw of used port in isolation=18.92, bw in codeployment=0, applist=pe fw, point=3,router3, eth4
conflict, bw difference=18.92, applist=pe fw, point=3,router3, eth4
Experiment finished at 210729_033509
