210720_175723
Conflict for bw of used port in isolation=14.88, bw in codeployment=0, applist=hs pe, point=1,router10, eth1
conflict, bw difference=14.88, applist=hs pe, point=1,router10, eth1
Conflict for bw of used port in isolation=5.26, bw in codeployment=0, applist=hs pe, point=1,router10, eth2
conflict, bw difference=5.26, applist=hs pe, point=1,router10, eth2
Conflict for bw of used port in isolation=5.21, bw in codeployment=0, applist=hs pe, point=1,router10, eth3
conflict, bw difference=5.21, applist=hs pe, point=1,router10, eth3
Conflict for bw of used port in isolation=5.18, bw in codeployment=0, applist=hs pe, point=1,router10, eth4
conflict, bw difference=5.18, applist=hs pe, point=1,router10, eth4
Conflict for bw of used port in isolation=14.88, bw in codeployment=0, applist=hs pe, point=2,router10, eth1
conflict, bw difference=14.88, applist=hs pe, point=2,router10, eth1
Conflict for bw of used port in isolation=5.26, bw in codeployment=0, applist=hs pe, point=2,router10, eth2
conflict, bw difference=5.26, applist=hs pe, point=2,router10, eth2
Conflict for bw of used port in isolation=5.21, bw in codeployment=0, applist=hs pe, point=2,router10, eth3
conflict, bw difference=5.21, applist=hs pe, point=2,router10, eth3
Conflict for bw of used port in isolation=5.18, bw in codeployment=0, applist=hs pe, point=2,router10, eth4
conflict, bw difference=5.18, applist=hs pe, point=2,router10, eth4
Conflict for bw of used port in isolation=14.88, bw in codeployment=0, applist=hs pe, point=3,router10, eth1
conflict, bw difference=14.88, applist=hs pe, point=3,router10, eth1
Conflict for bw of used port in isolation=5.26, bw in codeployment=0, applist=hs pe, point=3,router10, eth2
conflict, bw difference=5.26, applist=hs pe, point=3,router10, eth2
Conflict for bw of used port in isolation=5.21, bw in codeployment=0, applist=hs pe, point=3,router10, eth3
conflict, bw difference=5.21, applist=hs pe, point=3,router10, eth3
Conflict for bw of used port in isolation=5.18, bw in codeployment=0, applist=hs pe, point=3,router10, eth4
conflict, bw difference=5.18, applist=hs pe, point=3,router10, eth4
Experiment finished at 210720_183313
