210908_234100
Conflict for bw of unused port in isolation=0, bw in codeployment=0.07, applist=fw plb, point=4,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.86, applist=fw plb, point=5,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb, point=5,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.13, applist=fw plb, point=6,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb, point=7,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.43, applist=pplb4d plb, point=7,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb, point=8,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb, point=9,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.67, applist=fw pplb4d plb, point=10,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw pplb4d plb, point=11,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=fw pplb4d plb, point=13,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw pplb4d plb, point=14,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.70, applist=fw pplb4d plb, point=15,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw pplb4d plb, point=15,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw pplb4d plb, point=15,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=fw pplb4d plb, point=16,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw pplb4d plb, point=16,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw pplb4d plb, point=16,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.80, applist=fw pplb4d plb, point=18,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw pplb4d plb, point=18,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=fw pplb4d plb, point=19,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw pplb4d plb, point=19,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw pplb4d plb, point=19,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.04, applist=fw pplb4d plb, point=21,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.69, applist=fw pplb4d plb, point=21,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.10, applist=fw pplb4d plb, point=21,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.66, applist=fw pplb4d plb, point=22,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw pplb4d plb, point=22,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw pplb4d plb, point=22,router9, eth2
Experiment finished at 210909_025211
