210909_025224
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=fw plb, point=1,router9, eth2
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=fw plb, point=2,router9, eth2
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=fw plb, point=3,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=7,router11, eth3
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d, point=8,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.83, applist=plb pplb4d, point=8,router11, eth2
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d, point=9,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.75, applist=fw plb pplb4d, point=10,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=fw plb pplb4d, point=10,router11, eth3
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=fw plb pplb4d, point=11,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.12, applist=fw plb pplb4d, point=11,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.71, applist=fw plb pplb4d, point=12,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.75, applist=fw plb pplb4d, point=12,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb pplb4d, point=13,router3, eth3
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=fw plb pplb4d, point=14,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.35, applist=fw plb pplb4d, point=14,router11, eth2
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=fw plb pplb4d, point=15,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.64, applist=fw plb pplb4d, point=15,router11, eth3
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=fw plb pplb4d, point=16,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.17, applist=fw plb pplb4d, point=16,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=1.23, applist=fw plb pplb4d, point=17,router3, eth3
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=fw plb pplb4d, point=17,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.88, applist=fw plb pplb4d, point=17,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.79, applist=fw plb pplb4d, point=18,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.71, applist=fw plb pplb4d, point=19,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb pplb4d, point=19,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb pplb4d, point=19,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.86, applist=fw plb pplb4d, point=20,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb pplb4d, point=20,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb pplb4d, point=20,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.71, applist=fw plb pplb4d, point=21,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=fw plb pplb4d, point=22,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.74, applist=fw plb pplb4d, point=22,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.61, applist=fw plb pplb4d, point=22,router11, eth3
Experiment finished at 210909_060325
