210909_060339
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb, point=1,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb, point=1,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.68, applist=pplb4d plb, point=3,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb, point=3,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw, point=7,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.72, applist=plb fw, point=7,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=0.37, applist=plb fw, point=8,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw, point=9,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.71, applist=plb fw, point=9,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.87, applist=pplb4d plb fw, point=10,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.09, applist=pplb4d plb fw, point=11,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.80, applist=pplb4d plb fw, point=13,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=13,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.75, applist=pplb4d plb fw, point=13,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=14,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=14,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=14,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=15,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=15,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=15,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=16,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=0.10, applist=pplb4d plb fw, point=16,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.07, applist=pplb4d plb fw, point=16,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.71, applist=pplb4d plb fw, point=17,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.62, applist=pplb4d plb fw, point=17,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=0.60, applist=pplb4d plb fw, point=18,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=pplb4d plb fw, point=18,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=18,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=pplb4d plb fw, point=18,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=19,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.73, applist=pplb4d plb fw, point=19,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=20,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.92, applist=pplb4d plb fw, point=20,router9, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.75, applist=pplb4d plb fw, point=20,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb fw, point=21,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.08, applist=pplb4d plb fw, point=21,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=0.29, applist=pplb4d plb fw, point=22,router11, eth2
Experiment finished at 210909_091504
