210721_072316
Conflict for bw of unused port in isolation=0, bw in codeployment=4.83, applist=plb pplb4d, point=1,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=0.47, applist=plb pplb4d, point=2,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.80, applist=plb pplb4d, point=2,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=2.60, applist=plb pplb4d, point=3,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=3,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw, point=4,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw, point=5,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw, point=6,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=10,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=10,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.92, applist=plb pplb4d fw, point=10,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=11,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=11,router3, eth3
conflict, bw difference=9.66, applist=plb pplb4d fw, point=12,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=12,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.95, applist=plb pplb4d fw, point=12,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=12,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=13,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=13,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=13,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=5.11, applist=plb pplb4d fw, point=14,router11, eth2
conflict, bw difference=5.11, applist=plb pplb4d fw, point=14,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=14,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=15,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=15,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.92, applist=plb pplb4d fw, point=15,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.63, applist=plb pplb4d fw, point=16,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=16,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.65, applist=plb pplb4d fw, point=16,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=17,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=17,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=18,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=18,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=18,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=19,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.70, applist=plb pplb4d fw, point=19,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.64, applist=plb pplb4d fw, point=19,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=0.37, applist=plb pplb4d fw, point=20,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=20,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=20,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=21,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=21,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=21,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=22,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=22,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=22,router3, eth3
Experiment finished at 210721_102458
