210721_102511
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw, point=1,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw, point=2,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw, point=3,router3, eth3
conflict, bw difference=7.82, applist=plb pplb4d, point=4,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=7.80, applist=plb pplb4d, point=4,router11, eth2
conflict, bw difference=7.80, applist=plb pplb4d, point=4,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=4,router11, eth3
conflict, bw difference=6.70, applist=plb pplb4d, point=5,router9, eth6
conflict, bw difference=9.79, applist=plb pplb4d, point=5,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=5.02, applist=plb pplb4d, point=5,router11, eth2
conflict, bw difference=5.02, applist=plb pplb4d, point=5,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=5.23, applist=plb pplb4d, point=5,router11, eth3
conflict, bw difference=5.23, applist=plb pplb4d, point=5,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d, point=6,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=10,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=10,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=11,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=2.87, applist=plb fw pplb4d, point=11,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=11,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=12,router3, eth3
conflict, bw difference=7.48, applist=plb fw pplb4d, point=12,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=7.48, applist=plb fw pplb4d, point=12,router11, eth2
conflict, bw difference=7.48, applist=plb fw pplb4d, point=12,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=12,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=13,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.60, applist=plb fw pplb4d, point=13,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=13,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=14,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=14,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=14,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=15,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=0.34, applist=plb fw pplb4d, point=15,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.66, applist=plb fw pplb4d, point=15,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=16,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=16,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=17,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=17,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=18,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=18,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=18,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=19,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.34, applist=plb fw pplb4d, point=19,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb fw pplb4d, point=19,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=20,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.35, applist=plb fw pplb4d, point=20,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=20,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.73, applist=plb fw pplb4d, point=21,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.79, applist=plb fw pplb4d, point=21,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=21,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=22,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=22,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw pplb4d, point=22,router11, eth3
Experiment finished at 210721_132649
