210723_164617
conflict, bw difference=9.81, applist=pplb4d plb, point=4,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.49, applist=pplb4d plb, point=4,router11, eth2
conflict, bw difference=8.49, applist=pplb4d plb, point=4,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb, point=4,router11, eth3
conflict, bw difference=8.32, applist=pplb4d plb, point=5,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.22, applist=pplb4d plb, point=5,router11, eth2
conflict, bw difference=8.22, applist=pplb4d plb, point=5,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb, point=5,router11, eth3
conflict, bw difference=9.81, applist=pplb4d plb, point=6,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d plb, point=6,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=5.01, applist=pplb4d plb, point=6,router11, eth3
conflict, bw difference=5.01, applist=pplb4d plb, point=6,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb, point=7,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.92, applist=fw plb, point=8,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=fw plb, point=9,router3, eth3
conflict, bw difference=9.81, applist=pplb4d fw plb, point=10,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=5.05, applist=pplb4d fw plb, point=10,router11, eth2
conflict, bw difference=5.05, applist=pplb4d fw plb, point=10,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=5.37, applist=pplb4d fw plb, point=10,router11, eth3
conflict, bw difference=5.37, applist=pplb4d fw plb, point=10,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d fw plb, point=10,router3, eth3
conflict, bw difference=9.80, applist=pplb4d fw plb, point=11,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.00, applist=pplb4d fw plb, point=11,router11, eth2
conflict, bw difference=8.00, applist=pplb4d fw plb, point=11,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=pplb4d fw plb, point=11,router11, eth3
