210909_154004
conflict, bw difference=5.98, applist=plb pplb4d, point=1,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d, point=1,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=1,router11, eth3
conflict, bw difference=6.10, applist=plb pplb4d, point=2,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.50, applist=plb pplb4d, point=2,router11, eth2
conflict, bw difference=8.50, applist=plb pplb4d, point=2,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d, point=2,router11, eth3
conflict, bw difference=6.24, applist=plb pplb4d, point=3,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.18, applist=plb pplb4d, point=3,router11, eth2
conflict, bw difference=8.18, applist=plb pplb4d, point=3,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.74, applist=plb fw, point=4,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb fw, point=5,router3, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.72, applist=plb fw, point=6,router3, eth3
conflict, bw difference=5.88, applist=plb pplb4d fw, point=10,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=10,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=10,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=10,router3, eth3
conflict, bw difference=6.20, applist=plb pplb4d fw, point=11,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.22, applist=plb pplb4d fw, point=11,router11, eth2
conflict, bw difference=8.22, applist=plb pplb4d fw, point=11,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=11,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=11,router3, eth3
conflict, bw difference=6.26, applist=plb pplb4d fw, point=12,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=12,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=12,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=12,router3, eth3
conflict, bw difference=9.81, applist=plb pplb4d fw, point=13,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=13,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=13,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.72, applist=plb pplb4d fw, point=13,router3, eth3
conflict, bw difference=6.22, applist=plb pplb4d fw, point=14,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.92, applist=plb pplb4d fw, point=14,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=14,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=14,router3, eth3
conflict, bw difference=9.81, applist=plb pplb4d fw, point=15,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=15,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=15,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.71, applist=plb pplb4d fw, point=15,router3, eth3
error with nc, point = 16
nc from pc1 to pc2(UNKNOWN) [192.168.1.2] 3412 (?) : Connection timed out
conflict, pplb4d is not fulfilled at end-point for nc test, pc2, iso=3, cdp=2, applist=plb pplb4d fw, point=16
Conflict for bw of unused port in isolation=0, bw in codeployment=3.11, applist=plb pplb4d fw, point=16,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=16,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=16,router3, eth3
conflict, bw difference=5.99, applist=plb pplb4d fw, point=17,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.13, applist=plb pplb4d fw, point=17,router11, eth2
conflict, bw difference=8.13, applist=plb pplb4d fw, point=17,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.78, applist=plb pplb4d fw, point=17,router3, eth3
conflict, bw difference=9.80, applist=plb pplb4d fw, point=18,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=18,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=18,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=18,router3, eth3
conflict, bw difference=6.11, applist=plb pplb4d fw, point=19,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=19,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=19,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.72, applist=plb pplb4d fw, point=19,router3, eth3
conflict, bw difference=6.12, applist=plb pplb4d fw, point=20,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.63, applist=plb pplb4d fw, point=20,router11, eth2
conflict, bw difference=8.63, applist=plb pplb4d fw, point=20,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.82, applist=plb pplb4d fw, point=20,router11, eth3
Conflict for bw of unused port in isolation=0, bw in codeployment=4.91, applist=plb pplb4d fw, point=20,router3, eth3
conflict, bw difference=6.31, applist=plb pplb4d fw, point=21,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=8.06, applist=plb pplb4d fw, point=21,router11, eth2
conflict, bw difference=8.06, applist=plb pplb4d fw, point=21,router11, eth2
Conflict for bw of unused port in isolation=0, bw in codeployment=4.90, applist=plb pplb4d fw, point=21,router3, eth3
conflict, bw difference=5.86, applist=plb pplb4d fw, point=22,router11, eth1
Conflict for bw of unused port in isolation=0, bw in codeployment=7.90, applist=plb pplb4d fw, point=22,router11, eth2
conflict, bw difference=7.90, applist=plb pplb4d fw, point=22,router11, eth2
