210925_190050
conflict, hs is not fulfilled at end-point for iperf test, pc2, iso=0, cdp=1, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for iperf test, pc4, iso=0, cdp=2, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=4, cdp=3, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=2, cdp=4, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=2, cdp=0, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=1, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=3, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=4, cdp=2, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for iperf test, pc2, iso=0, cdp=1, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for iperf test, pc4, iso=0, cdp=2, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=4, cdp=3, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=2, cdp=4, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=2, cdp=0, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=1, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=3, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=4, cdp=2, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for iperf test, pc2, iso=0, cdp=1, applist=hs eplb, point=3
conflict, hs is not fulfilled at end-point for iperf test, pc4, iso=0, cdp=2, applist=hs eplb, point=3
conflict, hs is not fulfilled at end-point for nc test, pc3, iso=4, cdp=3, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=2, cdp=4, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=2, cdp=0, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=1, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=3, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=4, cdp=2, applist=hs eplb, point=3
Experiment finished at 210925_192145
