210924_032434
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d, point=2,router11, eth3
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=pplb4d hs, point=7
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=pplb4d hs, point=7
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=pplb4d hs, point=7
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=pplb4d hs, point=7
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=pplb4d hs, point=7
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=pplb4d hs, point=7
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=pplb4d hs, point=8
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=pplb4d hs, point=8
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=pplb4d hs, point=8
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=pplb4d hs, point=8
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=pplb4d hs, point=8
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=pplb4d hs, point=8
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=pplb4d hs, point=9
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=pplb4d hs, point=9
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=pplb4d hs, point=9
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=pplb4d hs, point=9
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=pplb4d hs, point=9
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=pplb4d hs, point=9
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=10
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=10
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=10
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=10
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=10
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=10
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=11
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=11
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=11
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=11
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=11
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=11
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=12
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=12
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=12
conflict, pplb4d is not fulfilled at end-point for iperf test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=12
conflict, pplb4d is not fulfilled at end-point for nc test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=12
conflict, pplb4d is not fulfilled at end-point for iperf test, pc6, iso=6, cdp=8, applist=plb pplb4d hs, point=12
Conflict for bw of used port in isolation=4.91, bw in codeployment=0, applist=plb pplb4d hs, point=12,router11, eth3
conflict, pplb4d is not fulfilled at end-point for nc test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=13
conflict, pplb4d is not fulfilled at end-point for iperf test, pc3, iso=6, cdp=4, applist=plb pplb4d hs, point=13
conflict, pplb4d is not fulfilled at end-point for nc test, pc5, iso=6, cdp=4, applist=plb pplb4d hs, point=13
