210920_155252
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=pplb4d eplb, point=7
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=pplb4d eplb, point=7
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=pplb4d eplb, point=8
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=pplb4d eplb, point=8
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=pplb4d eplb, point=9
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=pplb4d eplb, point=9
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=10
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=10
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=11
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=11
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=12
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=12
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=13
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=13
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=14
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=14
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=15
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=15
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=16
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=16
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=17
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=17
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=18
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=18
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=19
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=19
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=20
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=20
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=21
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=21
conflict, pplb4d is not fulfilled at end-point for nc test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=22
conflict, pplb4d is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=plb pplb4d eplb, point=22
Experiment finished at 210920_195521
