210928_204443
conflict, hs is not fulfilled at end-point for nc test, pc8, iso=10, cdp=7, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for nc test, pc7, iso=0, cdp=3, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for iperf test, pc7, iso=0, cdp=2, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=5, cdp=3, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=7, cdp=2, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=2, cdp=7, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=5, cdp=10, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for nc test, pc8, iso=10, cdp=7, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for nc test, pc7, iso=0, cdp=3, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for iperf test, pc7, iso=0, cdp=2, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=5, cdp=3, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=7, cdp=2, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=2, cdp=7, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=5, cdp=10, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for nc test, pc8, iso=10, cdp=7, applist=hs eplb, point=3
conflict, hs is not fulfilled at end-point for nc test, pc7, iso=0, cdp=3, applist=hs eplb, point=3
conflict, hs is not fulfilled at end-point for iperf test, pc7, iso=0, cdp=2, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=5, cdp=3, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=7, cdp=2, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=2, cdp=7, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=5, cdp=10, applist=hs eplb, point=3
Experiment finished at 210928_211521
