210928_021955
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=2, cdp=0, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=3, cdp=0, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=4, cdp=6, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=5, cdp=6, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=2, cdp=0, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=3, cdp=0, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=4, cdp=6, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=5, cdp=6, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=2, cdp=0, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=3, cdp=0, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=4, cdp=6, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=5, cdp=6, applist=hs eplb, point=3
Experiment finished at 210928_025119
