210928_025128
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=2, cdp=0, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=4, cdp=0, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=6, cdp=8, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=6, cdp=8, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=2, cdp=0, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=4, cdp=0, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=6, cdp=8, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=6, cdp=8, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc7, iso=2, cdp=0, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc7, iso=4, cdp=0, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc8, iso=6, cdp=8, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc8, iso=6, cdp=8, applist=eplb hs, point=3
Experiment finished at 210928_032352
