210927_202528
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=4, cdp=3, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=2, cdp=3, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for iperf test, pc2, iso=2, cdp=3, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=2, cdp=3, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=3, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=4, cdp=3, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=4, cdp=3, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=2, cdp=3, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for iperf test, pc2, iso=2, cdp=3, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=2, cdp=3, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=3, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=4, cdp=3, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=4, cdp=3, applist=hs eplb, point=3
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=2, cdp=3, applist=hs eplb, point=3
conflict, hs is not fulfilled at end-point for iperf test, pc2, iso=2, cdp=3, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=2, cdp=3, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=4, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=4, cdp=3, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=4, cdp=3, applist=hs eplb, point=3
Experiment finished at 210927_211026
