210927_220153
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=4, cdp=5, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=5, cdp=6, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=6, cdp=5, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=7, cdp=6, applist=eplb hs, point=1
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=6, cdp=5, applist=eplb hs, point=1
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=4, cdp=5, applist=eplb hs, point=1
conflict, hs is not fulfilled at end-point for iperf test, pc2, iso=4, cdp=6, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=4, cdp=5, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=5, cdp=6, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=6, cdp=5, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=7, cdp=6, applist=eplb hs, point=2
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=6, cdp=5, applist=eplb hs, point=2
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=4, cdp=5, applist=eplb hs, point=2
conflict, hs is not fulfilled at end-point for iperf test, pc2, iso=4, cdp=6, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=4, cdp=5, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=5, cdp=6, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=6, cdp=5, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=7, cdp=6, applist=eplb hs, point=3
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=6, cdp=5, applist=eplb hs, point=3
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=4, cdp=5, applist=eplb hs, point=3
conflict, hs is not fulfilled at end-point for iperf test, pc2, iso=4, cdp=6, applist=eplb hs, point=3
Experiment finished at 210927_225630
