210929_043101
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=0, cdp=1, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for iperf test, pc1, iso=0, cdp=1, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=6, cdp=4, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=5, cdp=1, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=4, cdp=1, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=4, applist=hs eplb, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=hs eplb, point=1
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=0, cdp=2, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for iperf test, pc1, iso=0, cdp=1, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=6, cdp=4, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=5, cdp=2, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=4, cdp=1, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=4, applist=hs eplb, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=hs eplb, point=2
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=0, cdp=1, applist=hs eplb, point=3
conflict, hs is not fulfilled at end-point for iperf test, pc1, iso=0, cdp=1, applist=hs eplb, point=3
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=6, cdp=4, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=5, cdp=1, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=4, cdp=1, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=1, cdp=4, applist=hs eplb, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=6, applist=hs eplb, point=3
Experiment finished at 210929_051613
