210929_060801
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=2, cdp=7, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=10, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=7, cdp=2, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=7, cdp=2, applist=eplb hs, point=1
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=0, cdp=2, applist=eplb hs, point=1
conflict, hs is not fulfilled at end-point for iperf test, pc1, iso=0, cdp=2, applist=eplb hs, point=1
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=10, cdp=7, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=2, cdp=7, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=10, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=7, cdp=3, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=7, cdp=2, applist=eplb hs, point=2
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=0, cdp=3, applist=eplb hs, point=2
conflict, hs is not fulfilled at end-point for iperf test, pc1, iso=0, cdp=2, applist=eplb hs, point=2
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=10, cdp=7, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=2, cdp=7, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=5, cdp=10, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=7, cdp=3, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=7, cdp=2, applist=eplb hs, point=3
conflict, hs is not fulfilled at end-point for nc test, pc1, iso=0, cdp=3, applist=eplb hs, point=3
conflict, hs is not fulfilled at end-point for iperf test, pc1, iso=0, cdp=2, applist=eplb hs, point=3
conflict, hs is not fulfilled at end-point for nc test, pc2, iso=10, cdp=7, applist=eplb hs, point=3
Experiment finished at 210929_070301
