210928_053723
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=0, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=0, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=4, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=4, applist=eplb hs, point=1
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=0, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=0, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=4, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=4, applist=eplb hs, point=2
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=0, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=0, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=4, applist=eplb hs, point=3
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=4, applist=eplb hs, point=3
Experiment finished at 210928_061332
