conflict, bw difference=22.03, point=4,router7, eth4
conflict, bw difference=22.59, point=4,router4, eth2
conflict, bw difference=22.24, point=4,router4, eth3
conflict, bw difference=22.03, point=4,router7, eth4
conflict, bw difference=22.65, point=7,router7, eth4
conflict, bw difference=22.66, point=7,router4, eth3
conflict, bw difference=22.65, point=7,router7, eth4
conflict, bw difference=23.48, point=48,router7, eth4
conflict, bw difference=22.59, point=48,router4, eth2
conflict, bw difference=21.79, point=48,router4, eth3
conflict, bw difference=23.48, point=48,router7, eth4
conflict, bw difference=20.57, point=56,router7, eth4
conflict, bw difference=20.80, point=56,router4, eth3
conflict, bw difference=20.57, point=56,router7, eth4
