conflict, bw difference=22.40, point=18,router7, eth4
conflict, bw difference=22.40, point=18,router4, eth3
conflict, bw difference=23.64, point=27,router7, eth3
conflict, bw difference=21.96, point=27,router7, eth4
conflict, bw difference=23.67, point=27,router4, eth2
conflict, bw difference=23.76, point=27,router4, eth3
conflict, bw difference=23.64, point=27,router7, eth3
conflict, bw difference=21.96, point=27,router7, eth4
conflict, bw difference=21.22, point=37,router7, eth4
conflict, bw difference=21.19, point=37,router4, eth3
conflict, bw difference=21.22, point=37,router7, eth4
conflict, bw difference=22.04, point=44,router7, eth4
conflict, bw difference=22.04, point=44,router4, eth3
conflict, bw difference=22.04, point=44,router7, eth4
conflict, bw difference=21.68, point=50,router7, eth4
conflict, bw difference=21.69, point=50,router4, eth3
conflict, bw difference=21.68, point=50,router7, eth4
conflict, bw difference=21.72, point=61,router7, eth4
conflict, bw difference=21.68, point=61,router4, eth3
conflict, bw difference=21.72, point=61,router7, eth4
