error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = eplb_1
error!, problem detected, nc from pc2 to pc3, connection refused, return value = 1, point = eplb_1
error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = 1
error!, problem detected, nc from pc2 to pc3, connection refused, return value = 1, point = 2
error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = 3
error!, problem detected, nc from pc2 to pc3, connection refused, return value = 1, point = 3
error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = 7
error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = 10
error!, problem detected, nc from pc2 to pc3, connection refused, return value = 1, point = 10
error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = 12
error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = 13
error!, problem detected, nc from pc2 to pc3, connection refused, return value = 1, point = 15
error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = 16
error!, problem detected, nc from pc2 to pc3, connection refused, return value = 1, point = 16
error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = 19
error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = 20
error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = 22
error!, problem detected, nc from pc2 to pc3, connection refused, return value = 1, point = 22
