error!, problem detected, nc from pc1 to pc3, connection refused, return value = 1, point = plb_1
some OpenFlow switch stops working, try automatic recovery solution!
some OpenFlow switch stops working, try automatic recovery solution!
some OpenFlow switch stops working, try automatic recovery solution!
error!, problem detected, nc from pc1 to pc4, connection refused, return value = 1, point = 1
error!, problem detected, nc from pc2 to pc4, connection refused, return value = 1, point = 1
conflict, bw difference=53.29, point=1,router7, eth2
conflict, bw difference=10.37, point=1,router7, eth3
conflict, bw difference=78.86, point=1,router7, eth4
conflict, bw difference=40.07, point=1,router4, eth1
conflict, bw difference=22.48, point=1,router4, eth2
conflict, bw difference=65.12, point=1,router4, eth3
conflict, bw difference=53.29, point=1,router7, eth2
conflict, bw difference=10.37, point=1,router7, eth3
conflict, bw difference=78.86, point=1,router7, eth4
conflict, bw difference=53.57, point=2,router7, eth2
conflict, bw difference=10.66, point=2,router7, eth3
conflict, bw difference=78.86, point=2,router7, eth4
conflict, bw difference=40.02, point=2,router4, eth1
conflict, bw difference=22.49, point=2,router4, eth2
conflict, bw difference=65.12, point=2,router4, eth3
conflict, bw difference=53.57, point=2,router7, eth2
conflict, bw difference=10.66, point=2,router7, eth3
conflict, bw difference=78.86, point=2,router7, eth4
error!, problem detected, nc from pc1 to pc4, connection refused, return value = 1, point = 3
conflict, bw difference=53.86, point=3,router7, eth2
conflict, bw difference=10.32, point=3,router7, eth3
conflict, bw difference=78.86, point=3,router7, eth4
conflict, bw difference=40.64, point=3,router4, eth1
conflict, bw difference=21.91, point=3,router4, eth2
conflict, bw difference=65.12, point=3,router4, eth3
conflict, bw difference=53.86, point=3,router7, eth2
conflict, bw difference=10.32, point=3,router7, eth3
conflict, bw difference=78.86, point=3,router7, eth4
conflict, bw difference=53.90, point=4,router7, eth2
conflict, bw difference=10.30, point=4,router7, eth3
conflict, bw difference=78.86, point=4,router7, eth4
conflict, bw difference=40.63, point=4,router4, eth1
conflict, bw difference=21.94, point=4,router4, eth2
conflict, bw difference=65.12, point=4,router4, eth3
conflict, bw difference=53.08, point=5,router7, eth2
conflict, bw difference=11.21, point=5,router7, eth3
conflict, bw difference=78.86, point=5,router7, eth4
conflict, bw difference=40.69, point=5,router4, eth1
conflict, bw difference=21.93, point=5,router4, eth2
conflict, bw difference=65.12, point=5,router4, eth3
